NO,COUNTRY,PRIORITY TIER,PILLAR,COMPANY NAME,SPECIALIZATION,CITY / REGION,CERTIFICATIONS & APPROVALS,REFERENCE SOURCE,WEBSITE,CONTACT STATUS,NOTES
1,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Al-Rushaid Group — Valve Division,API Valves — Local Manufacturing,Jubail,API 6D | Aramco Approved,Aramco AVL,alrushaid.com,Not Contacted,Major Saudi industrial group
2,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Gulf Industries Corp (GIC),Industrial Manufacturing — SABIC JV,Jubail,SABIC Approved | ISO 9001,SABIC / RCJY,gic.com.sa,Not Contacted,SABIC joint venture
3,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Saudi Specialized Products Co. (SSPC),Valves & Industrial Equipment,Jubail,MODON Licensed | ISO 9001,MODON / RCJY,,Not Contacted,
4,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Huta-Hegerfeld Saudi Arabia,Industrial Valves — German-Saudi JV,Jubail,RCJY Registered | API,RCJY,,Not Contacted,German-Saudi joint venture
5,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,ZAMIL Industrial,Full Industrial Group,Dammam,MODON | ISO 9001,MODON,zamilindustrial.com,Not Contacted,Publicly listed company
6,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Al-Fanar Group — Industrial,Industrial Equipment & Distribution,Riyadh,Chamber of Commerce,Riyadh Chamber,alfanar.com,Not Contacted,Large Saudi conglomerate
7,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Arabian Pipes Company,Industrial Pipes & Fittings,Jubail,RCJY | API,RCJY,arabian-pipes.com,Not Contacted,
8,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,National Industrialization Co. (Tasnee),Diversified Industrial Manufacturing,Riyadh,Tadawul Listed | ISO,Tadawul,tasnee.com,Not Contacted,Publicly listed
9,Saudi Arabia,P1 — Saudi First,Pillar 1 — Valves,Aldrees Industrial,Industrial Equipment Distribution,Riyadh,ISO 9001,Riyadh Chamber,aldrees.com,Not Contacted,
10,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Al-Rushaid Petroleum Investment Co.,Petroleum & Industrial Spare Parts,Jubail,Aramco Approved,Aramco AVL,alrushaid.com,Not Contacted,
11,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Saudi Industrial Services Co. (SISCO),Industrial Services & Spare Parts,Jeddah,MODON Licensed,MODON,sisco.com.sa,Not Contacted,
12,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Gulf Supplies & Commercial Services,Industrial Spare Parts & Equipment,Dammam,Eastern Chamber,Eastern Chamber,,Not Contacted,
13,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Al-Moayyed International Group,Industrial Spare Parts Distribution,Dammam,Eastern Chamber,Eastern Chamber,,Not Contacted,
14,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,National Supply Co. (NASCO),Industrial & Technical Supplies,Riyadh,MODON,MODON,,Not Contacted,
15,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Rezayat Group,Petroleum & Industrial Spare Parts,Dammam,Aramco Approved,Aramco AVL,rezayat.com,Not Contacted,
16,Saudi Arabia,P1 — Saudi First,Pillar 2 — Spare Parts,Al-Barrak Group — Industrial,Industrial Materials & Equipment,Riyadh,Riyadh Chamber,Riyadh Chamber,,Not Contacted,
17,Saudi Arabia,P1 — Saudi First,Pillar 3 — Machining & Repair,Saudi Valve Overhaul Co. (SVOC),Valve Repair & Overhaul,Jubail,RCJY Registered,RCJY,,Not Contacted,
18,Saudi Arabia,P1 — Saudi First,Pillar 3 — Machining & Repair,Al-Rushaid Engineering,CNC Machining & Industrial Repair,Jubail,Aramco Approved,Aramco AVL,alrushaid.com,Not Contacted,
19,Saudi Arabia,P1 — Saudi First,Pillar 3 — Machining & Repair,Gulf Technical Industries (GTI),Metal Machining & Industrial Workshops,Dammam,Eastern Chamber,Eastern Chamber,,Not Contacted,
20,Saudi Arabia,P1 — Saudi First,Pillar 3 — Machining & Repair,Saudi Archirodon,Engineering Works & Fabrication,Jubail / Yanbu,RCJY,RCJY,,Not Contacted,
21,Saudi Arabia,P1 — Saudi First,Pillar 3 — Machining & Repair,SEPCO Electric Power Construction,Industrial Services & Fabrication,Jubail,MODON,MODON,,Not Contacted,
22,Saudi Arabia,P1 — Saudi First,Pillar 3 — Machining & Repair,Al-Khodari Sons Co.,Engineering & Industrial Services,Dammam,Tadawul Listed,Tadawul,alkhodari.com,Not Contacted,Publicly listed
23,Saudi Arabia,P1 — Saudi First,Pillar 3 — Machining & Repair,Consolidated Contractors Co. (CCC),Engineering & Industrial Construction,Dammam,Aramco Approved,Aramco AVL,ccc.gr,Not Contacted,
24,Saudi Arabia,P1 — Saudi First,Pillar 4 — 3D Printing,NAMI — National Additive Manufacturing,Metal AM — Aramco & SABIC Backed,Riyadh,Aramco / KACST,Aramco / KACST,nami.com.sa,Not Contacted,Priority contact — Saudi national company
25,Saudi Arabia,P1 — Saudi First,Pillar 4 — 3D Printing,Immensa Technology,3D Printing & Reverse Engineering,Riyadh,NEOM Partner,BADIR,immensa.tech,Not Contacted,
26,Saudi Arabia,P1 — Saudi First,Pillar 4 — 3D Printing,Intech Additive Solutions,Industrial 3D Printing,Riyadh,BADIR Program,BADIR,,Not Contacted,
27,Saudi Arabia,P1 — Saudi First,Pillar 4 — 3D Printing,KACST Advanced Manufacturing Center,Research & Industrial AM,Riyadh,Government,KACST,kacst.edu.sa,Not Contacted,
28,Saudi Arabia,P1 — Saudi First,Pillar 4 — 3D Printing,King Abdulaziz University — Fab Lab,3D Printing & Prototyping,Jeddah,Academic,KAU,kau.edu.sa,Not Contacted,
29,Saudi Arabia,P1 — Saudi First,Pillar 4 — 3D Printing,Mevion — NEOM Facility,Advanced Metal Printing,NEOM,NEOM Partner,NEOM,,Not Contacted,
30,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,SGS Arabia Ltd,Inspection | Calibration | Certification,Dammam / Riyadh,ISO 17020 | Aramco Approved,Aramco AVL,sgs.com/sa,Not Contacted,Global leader — priority contact
31,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,Bureau Veritas Saudi Arabia,TPI — Industrial & Petroleum Inspection,Dammam,Aramco | SABIC Approved,Aramco AVL,bureauveritas.com,Not Contacted,
32,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,Intertek Saudi Arabia,Testing | Inspection | Calibration,Dammam / Riyadh,Aramco Approved | ISO 17025,Aramco AVL,intertek.com,Not Contacted,
33,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,Lloyd's Register Middle East,Engineering & Marine Inspection,Dammam,Aramco Approved | ISO,Aramco AVL,lr.org,Not Contacted,
34,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,TÜV Rheinland Arabia,Quality & Safety Certification,Riyadh,ISO 17020 | DAKKS,TÜV,tuv.com,Not Contacted,
35,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,DEKRA Saudi Arabia,Industrial Inspection & Testing,Riyadh / Dammam,Aramco Approved,Aramco AVL,dekra.com,Not Contacted,
36,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,Applus+ Saudi Arabia,NDT & Pipeline Inspection,Dammam,Aramco Approved | ISO,Aramco AVL,applus.com,Not Contacted,
37,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,EXPRO Saudi Arabia,Oilfield Services & Inspection,Dammam,Aramco Approved,Aramco AVL,expro.com,Not Contacted,
38,Saudi Arabia,P1 — Saudi First,Pillar 5 — TPI & Consultation,Core Laboratories,Specialized Analysis & Testing,Dammam,Aramco Approved,Aramco AVL,corelab.com,Not Contacted,
39,Saudi Arabia,P1 — Saudi First,Pillar 6 — Rental,Al-Rushaid Petroleum — Rental Division,Petroleum Equipment Rental,Jubail,Aramco Approved,Aramco AVL,alrushaid.com,Not Contacted,
40,Saudi Arabia,P1 — Saudi First,Pillar 6 — Rental,SAPESCO Saudi Arabia,Oilfield Equipment Rental,Dammam,Aramco Approved,Aramco AVL,,Not Contacted,
41,Saudi Arabia,P1 — Saudi First,Pillar 6 — Rental,Arabian Bemco Contracting,Industrial Equipment Operation & Rental,Jubail,RCJY,RCJY,,Not Contacted,
42,Saudi Arabia,P1 — Saudi First,Pillar 6 — Rental,Al-Qahtani Pipe Coating Industries,Coating Equipment & Rental,Jubail,RCJY,RCJY,,Not Contacted,
43,Saudi Arabia,P1 — Saudi First,Pillar 6 — Rental,Petrofac Saudi Arabia,Petroleum & Gas Equipment Rental,Dammam,Aramco Approved,Aramco AVL,petrofac.com,Not Contacted,
44,Saudi Arabia,P1 — Saudi First,Pillar 6 — Rental,Saudi Ground Services — Equipment,Industrial Equipment Rental,Riyadh,MODON,MODON,,Not Contacted,
45,Saudi Arabia,P1 — Saudi First,Pillar 6 — Rental,Saudi Oger — Industrial Division,Engineering Equipment Rental,Riyadh,MODON,MODON,,Not Contacted,
46,India,P2 — Global,Pillar 1 — Valves,L&T Valves (Larsen & Toubro),Gate | Globe | Check | Ball — Full API Range,Chennai,API 6D | API 600 | Aramco Approved | NACE,Aramco AVL,lntvalves.com,Not Contacted,Aramco approved — priority contact
47,India,P2 — Global,Pillar 1 — Valves,Audco India (Flowserve),Ball Valves | Butterfly — Oil & Gas,Chennai,API 6D | ASME | ISO,Aramco AVL,flowserve.com,Not Contacted,Part of Flowserve global
48,India,P2 — Global,Pillar 1 — Valves,Virgo Engineers,High Pressure Ball Valves — Industrial,Mumbai,API 6D | ISO 17292 | NACE,Industry Reference,virgo-engineers.com,Not Contacted,
49,India,P2 — Global,Pillar 1 — Valves,Hawa Valves,Gate | Globe | Check — Class 150–2500,Mumbai,API 600 | API 602 | NACE,Industry Reference,hawavalves.com,Not Contacted,
50,India,P2 — Global,Pillar 1 — Valves,Advance Valves,Ball | Gate | Globe — Petrochemical,Noida,API 6D | ASME B16.34 | ISO,Industry Reference,advancevalves.com,Not Contacted,
51,India,P2 — Global,Pillar 1 — Valves,Leader Valves,Diversified Industrial Valves,Ludhiana,API | ISO 9001,Industry Reference,leadervalves.com,Not Contacted,
52,India,P2 — Global,Pillar 1 — Valves,Intervalve India,High Pressure Valves — Refineries,Mumbai,API 600 | NACE MR0175,Industry Reference,intervalveindia.com,Not Contacted,
53,India,P2 — Global,Pillar 1 — Valves,Sant Valves,Valves for Water | Steam | Oil,Ludhiana,ISO 9001 | BIS,Industry Reference,santvalves.com,Not Contacted,
54,India,P2 — Global,Pillar 1 — Valves,Microfinish Valves,High Precision Ball Valves,Ahmedabad,API 6D | ISO,Industry Reference,microfinishvalves.com,Not Contacted,
55,India,P2 — Global,Pillar 1 — Valves,Forbes Marshall,Control Valves & Automation,Pune,ISA | IEC | ISO,Industry Reference,forbesmarshall.com,Not Contacted,
56,India,P2 — Global,Pillar 3 — Machining & Repair,BHEL (Bharat Heavy Electricals),Heavy Industrial Manufacturing & Repair,New Delhi,ISO | API | Government,Government Entity,bhel.com,Not Contacted,Indian state enterprise
57,India,P2 — Global,Pillar 3 — Machining & Repair,Kirloskar Brothers,Pumps | Valves | Industrial Services,Pune,ISO 9001 | API,Industry Reference,kirloskarbros.com,Not Contacted,
58,India,P2 — Global,Pillar 5 — TPI & Consultation,TÜV India,Industrial Certification & Inspection,Mumbai,ISO 17020 | NABL,TÜV,tuv.com/in,Not Contacted,
59,India,P2 — Global,Pillar 5 — TPI & Consultation,Bureau Veritas India,TPI & Quality Inspection,Mumbai,Aramco Approved | ISO,Aramco AVL,bureauveritas.co.in,Not Contacted,
60,India,P2 — Global,Pillar 5 — TPI & Consultation,RINA India,Marine & Industrial Inspection,Mumbai,ISO | IACS,Industry Reference,rina.org,Not Contacted,
61,China,P2 — Global,Pillar 1 — Valves,Neway Valve Co.,Gate | Globe | Ball | Check — Oil & Gas,Suzhou,API 6D | API 600 | Aramco Approved | NACE,Aramco AVL,newayvalve.com,Not Contacted,Aramco approved — priority contact
62,China,P2 — Global,Pillar 1 — Valves,CEPAI Group,Control Valves — Oil & Gas,Yangzhou,API | ISO | ATEX,Industry Reference,cepai.com,Not Contacted,
63,China,P2 — Global,Pillar 1 — Valves,Sufa Technology Industry,Nuclear & High-Quality Industrial Valves,Chengdu,ASME | ISO | API,Industry Reference,,Not Contacted,
64,China,P2 — Global,Pillar 1 — Valves,Zhejiang Zhengfeng Valve,Diversified Industrial Valves,Wenzhou,API | CE | ISO,Industry Reference,,Not Contacted,
65,China,P2 — Global,Pillar 1 — Valves,Shanghai KOSA Valve,Gate | Globe | Ball — Petrochemical,Shanghai,API 6D | ASME,Industry Reference,,Not Contacted,
66,China,P2 — Global,Pillar 1 — Valves,Beijing Valve General Factory,High Pressure Heavy Industry Valves,Beijing,GB | API | ISO,Industry Reference,,Not Contacted,
67,China,P2 — Global,Pillar 1 — Valves,Zhejiang Youfumi Valve,Ball | Butterfly | Check Valves,Wenzhou,CE | ISO 9001,Industry Reference,,Not Contacted,
68,China,P2 — Global,Pillar 1 — Valves,Shanghai Datong Valve,Control Valves & Automation,Shanghai,ATEX | SIL | ISO,Industry Reference,,Not Contacted,
69,China,P2 — Global,Pillar 1 — Valves,Tianjin Tanggu Valve,Water & Power Sector Valves,Tianjin,ISO | GB,Industry Reference,,Not Contacted,
70,China,P2 — Global,Pillar 1 — Valves,Habonim China,Small Bore Ball Valves,Shanghai,API | ISO,Industry Reference,habonim.com,Not Contacted,Israeli brand — China manufacturing
71,China,P2 — Global,Pillar 4 — 3D Printing,BLT (Bright Laser Technologies),Metal AM — Largest in Asia,Xi'an,ISO | AS9100,Industry Reference,blt.com.cn,Not Contacted,Largest metal AM in Asia
72,China,P2 — Global,Pillar 4 — 3D Printing,Farsoon Technologies,Industrial SLS & SLM Printing,Changsha,ISO | CE,Industry Reference,farsoon.com,Not Contacted,
73,China,P2 — Global,Pillar 4 — 3D Printing,Bambu Lab Industrial,High Precision Industrial Printing,Shenzhen,CE | ISO,Industry Reference,bambulab.com,Not Contacted,
74,Italy,P2 — Global,Pillar 1 — Valves,Valvitalia Group,Gate | Globe | Ball | Check — Oil & Gas,Milan,API 6D | API 600 | NACE | Aramco Approved,Aramco AVL,valvitalia.com,Not Contacted,Aramco approved — priority contact
75,Italy,P2 — Global,Pillar 1 — Valves,Bonomi Group,Ball Valves & Butterfly — Industrial,Brescia,API | ISO | CE,Industry Reference,bonomigroup.com,Not Contacted,
76,Italy,P2 — Global,Pillar 1 — Valves,OMB Saleri,High Pressure Ball Valves,Brescia,API 6D | ASME | NACE MR0175,Industry Reference,omb.it,Not Contacted,
77,Italy,P2 — Global,Pillar 1 — Valves,Perar S.p.A,Gate | Globe | Check — Refineries,Milan,API 600 | NACE | ISO,Industry Reference,perar.it,Not Contacted,
78,Italy,P2 — Global,Pillar 1 — Valves,Nuovo Pignone (Baker Hughes / GE),Turbines | Compressors | Control Valves,Florence,API | ASME | Aramco Approved,Aramco AVL,bakerhughes.com,Not Contacted,Part of Baker Hughes — GE
79,Italy,P2 — Global,Pillar 1 — Valves,Trillium Flow Technologies,Gate | Globe | Ball — Oil & Gas,Milan,API 6D | API 600 | NACE,Industry Reference,trilliumflow.com,Not Contacted,
80,Italy,P2 — Global,Pillar 1 — Valves,AVK Italiana,Water & Infrastructure Valves,Milan,ISO | EN | CE,Industry Reference,avk.com,Not Contacted,
81,Italy,P2 — Global,Pillar 1 — Valves,Biffi Italia (Emerson),Valve Actuators & Automation,Piacenza,SIL | ATEX | IEC | Aramco Approved,Aramco AVL,emerson.com,Not Contacted,Part of Emerson global
82,Italy,P2 — Global,Pillar 1 — Valves,IMI Critical Engineering Italy,Control Valves — High Pressure,Birmingham / Italy,ISA | API | NACE,Industry Reference,imi-critical.com,Not Contacted,
83,Italy,P2 — Global,Pillar 1 — Valves,Emerson — Bettis Italy,Actuators & Industrial Automation,Italy,ATEX | SIL 3 | IEC,Aramco AVL,emerson.com,Not Contacted,Part of Emerson global
84,Italy,P2 — Global,Pillar 5 — TPI & Consultation,RINA S.p.A,Marine & Industrial & Petroleum Inspection,Genoa,ISO 17020 | IACS | API,Aramco AVL,rina.org,Not Contacted,Italian origin — global presence
85,Italy,P2 — Global,Pillar 5 — TPI & Consultation,Certiquality,ISO & Industrial Quality Certification,Milan,ISO | ACCREDIA,Industry Reference,certiquality.it,Not Contacted,